愉悦安,小区名,区县,地址,物业公司,物业类型,物业id,房屋等级,建设用地,开发单位,是否有合同,负责人,点位坐标,面坐标
00165ec4f242fff7de7387ff872a65c3,叠彩城,两江新区,重庆市两江新区金渝大道88号,重庆市祥怡物业管理有限公司,商住一体（综合商业体）,1795623910460000000,二级,地字第500139200800004号,重庆中汽君安实业有限公司,有合同,郭华,"[[106.56579752361348, 29.642805397745356], [106.56573570032124, 29.64030364185266]]","[[[[106.56566683823814, 29.642159660025495], [106.56662811909358, 29.64272906528321], [106.56622348297607, 29.643137124104634], [106.56598714556624, 29.643375455378198], [106.56563590711829, 29.643427741630667], [106.5652056970964, 29.643196038924486], [106.56542328713438, 29.642911850420717], [106.56510021265218, 29.64274439359432], [106.56555579783836, 29.642100111740724], [106.56566683823814, 29.642159660025495]]], [[[106.56507245736731, 29.642724494979042], [106.5637017153171, 29.6420646692796], [106.5660395083521, 29.637969463879376], [106.56785913076595, 29.63873405451432], [106.56561171632768, 29.64208954373958], [106.56555598285972, 29.642060741732735], [106.56507245736731, 29.642724494979042]]]]"
002a5ae7f784f97562f4db6a360e12d2,千景奎庭,石柱县,重庆市石柱县万安街道都督大道31号,金科智慧服务集团股份有限公司石柱分公司,商住一体（综合商业体）,1706590062170000000,四级,地字第500240201900518号,重庆市石柱国有资产经营管理集团有限公司,有合同,,"[108.10517887899049, 29.982100652052974]","[[[108.10485042845472, 29.983202126633913], [108.10397923387073, 29.982045606762316], [108.10543753784823, 29.98109003230994], [108.10645077502744, 29.98197588704884], [108.10485042845472, 29.983202126633913]]]"
003812c1e9abf4f3d2966812397e6641,盛世和丰,丰都县,重庆市丰都县工业园区水天坪大道19号,重庆丰都睿华物业有限公司,住宅,1910877133080000000,二级,地字第500230201400037号,重庆丰都睿华物业有限公司,有合同,,"[107.78531074053538, 29.92304644214401]","[[[107.78483563215455, 29.92336148895946], [107.78477096936516, 29.922986001394484], [107.78489382866498, 29.92261611673674], [107.78593489957376, 29.922834685109695], [107.7857279786478, 29.92343434459159], [107.78483563215455, 29.92336148895946]]]"
0060e3884696e0e402e31359f911b914,力帆枫樾一、二、三期,两江新区,红枫路社区东湖南路40号,重庆嘉宝管理顾问有限公司,商住一体（综合商业体）,1909999999999999700,超等级,地字第500140200800034号,重庆润鹏房地产开发有限公司,有合同,姚益,"[[106.53878170743408, 29.602798055685625], [106.53485960959166, 29.604383158098653]]","[[[[106.53745521522814, 29.603675041578875], [106.53730187771677, 29.60223071682443], [106.53824745903695, 29.601964069992434], [106.53883525283057, 29.60189740817428], [106.53965305289124, 29.60187518755844], [106.5400363966697, 29.601830746312054], [106.54021529043298, 29.602075172924767], [106.5400619529216, 29.6030306530903], [106.53995972791402, 29.60369726179815], [106.53745521522814, 29.603675041578875]]], [[[106.53369525166787, 29.60463606158889], [106.53370164073087, 29.604286095824747], [106.53372719698277, 29.60408055980984], [106.53377511495508, 29.60391390867942], [106.53404345559998, 29.603886133464236], [106.53428623999298, 29.603872245853776], [106.53462486033061, 29.603830583010936], [106.53493792441637, 29.603761144901263], [106.53510723458515, 29.603725037065338], [106.535394742419, 29.603691706743778], [106.53564711040647, 29.60365559888299], [106.53567905572135, 29.603658376411207], [106.53576850260299, 29.603666708995384], [106.53577169713446, 29.603750034799273], [106.53578128072894, 29.60385558071871], [106.53580364244934, 29.6039777916453], [106.53581961510677, 29.604158330243138], [106.53582280963826, 29.604222213054175], [106.53585156042166, 29.604391641183113], [106.53584836589017, 29.604561069027397], [106.53585475495315, 29.604658281596407], [106.5358387822957, 29.604805489022503], [106.53584517135866, 29.604947141248495], [106.53584836589017, 29.605136010573634], [106.53565030493799, 29.60506935085222], [106.53532446272628, 29.605011023559822], [106.53490278457, 29.604994358612952], [106.53474944705862, 29.604952696233696], [106.53420318217434, 29.604955473726193], [106.53403067747404, 29.604902701355883], [106.53369525166787, 29.60463606158889]]]]"
0067161e63dac54ec86b39d4c79cc9c7,昕晖伊顿庄园,云阳县,双江街道沙滨路436号,重庆鑫永物业服务有限公司云阳分公司,住宅,1706130748950000000,超等级,地字第500235201700015号,重庆市昕晖帝阳房地产开发有限公司,有合同,,"[108.71459872902716, 30.952549614966056]","[[[108.71373334247328, 30.951992216243152], [108.71402995449004, 30.95191370129754], [108.71461445464072, 30.95261597386664], [108.7148761711261, 30.95267704104656], [108.71535598468263, 30.952493839506793], [108.7154650332182, 30.952759917933598], [108.71483691365329, 30.95299982471186], [108.71457624342274, 30.952917311441222], [108.71373334247328, 30.951992216243152]]]"
0074c08e905a73b3dc484cc655043684,馨园小区,酉阳县,武鞍路226号,重庆恒祥物业管理有限公司,公租房,1904465733600000300,一级,地字第酉阳（2010）0039号,,有合同,吴义华,"[108.76028568154229, 28.827601828996755]","[[[108.75778142676482, 28.827719941065798], [108.7579247950781, 28.827625740137844], [108.75849826833125, 28.827280336006055], [108.75935847821093, 28.82717043445108], [108.76014700393401, 28.827091933269333], [108.7605591878347, 28.827060532780056], [108.76100721381368, 28.827044832531872], [108.76125810836197, 28.82712333374913], [108.76183158161508, 28.827421637834853], [108.76222584447662, 28.827547239299427], [108.76253050214233, 28.82801824344193], [108.76215416032, 28.828112444014725], [108.76107889797035, 28.828112444014725], [108.7608280034221, 28.82797114312359], [108.76027245120814, 28.82782984204067], [108.75975274107249, 28.82800254333819], [108.75903589950607, 28.82800254333819], [108.75778142676482, 28.827719941065798]]]"
008063a16277c8db8150705be6a69a01,鼎盛宝马苑,大足区,重庆市大足区龙水镇花市街东关巷15号,重庆市大足区丞祥物业服务有限公司,住宅,1919645958369999600,一级,地字第重规建证足建（2008）0024号,,有合同,李洁,"[105.7585145719003, 29.56811931900912]","[[[105.75840938588148, 29.56839645865462], [105.75819598461496, 29.56825514228335], [105.75864461227751, 29.567843847241633], [105.7588313383857, 29.567957744497807], [105.75840938588148, 29.56839645865462]]]"
009128a902014e163f7f9eb71851d6bd,都市和谐家园,经开区,丁香路与蔷薇路交叉路口往东约130米,重庆源海物业管理有限公司,住宅,1905094767849999600,二级,地字第500108201100023号,重庆都市建设有限公司,有合同,汪阳春,"[106.66073313107094, 29.498941997602387]","[[[106.66073549053739, 29.500270518596757], [106.65966545279824, 29.499417314000205], [106.66056980727453, 29.498125476458217], [106.66132918889588, 29.497530624793498], [106.66159842419799, 29.497710883242668], [106.66123254032587, 29.49923705858823], [106.66111518134805, 29.49979584932101], [106.66073549053739, 29.500270518596757]]]"
00942ee630d189086c421907477600c9,鸥鹏御府,璧山区,重庆市璧山区双星大道55号,重庆新鸥鹏物业管理（集团）有限公司,住宅,1924725158579999700,三级,地字第500227201200089号,重庆璧升地产发展有限公司,有合同,,"[[106.1959929188021, 29.57483559985886], [106.19669274172078, 29.57134186262698]]","[[[[106.19392676691699, 29.57664216136745], [106.19384600055508, 29.57522852719743], [106.19388638373603, 29.57465779971873], [106.19389647953128, 29.573823653754122], [106.19390657532652, 29.572998281490314], [106.19432050293125, 29.571795333236054], [106.19769249854042, 29.57283145010663], [106.19781364808327, 29.573077306786377], [106.1980963303499, 29.57334072399318], [106.19813671353084, 29.57748506424731], [106.1979549892166, 29.57752896524614], [106.19723818775476, 29.57755530583629], [106.19628918300246, 29.577432383023496], [106.1957843932406, 29.577327020493414], [106.19513826234544, 29.577151416032237], [106.19392676691699, 29.57664216136745]]], [[[106.194482035655, 29.5716636227027], [106.19505749598352, 29.5699777127025], [106.19552190256442, 29.57010942543488], [106.19575410585489, 29.570390412023094], [106.19632956618337, 29.570153329640828], [106.19675358958335, 29.570487000982208], [106.1979347976261, 29.5705748090467], [106.19830834204987, 29.57075042494659], [106.19863140749746, 29.570759205733573], [106.19892418555933, 29.570759205733573], [106.1981266177356, 29.572743644004518], [106.19668291901668, 29.572366076895282], [106.194482035655, 29.5716636227027]]]]"
00a97a50784bef5d3f619d16a7933185,南川区东城花园棚改安居工程,南川区,重庆市南川区东城街道办事处皂角井居委1、2、3、4组，花山居委6组,重庆诺坤物业管理有限公司,住宅,1794209930050000100,二级,地字第500119202000025号,重庆市南川区博顺置业有限公司,有合同,,"[107.0999236170236, 29.16071032151887]","[[[107.09842909545276, 29.16113592553024], [107.09826305351761, 29.159776573558677], [107.10154238173676, 29.16037469064317], [107.10156313697867, 29.161589038855134], [107.09842909545276, 29.16113592553024]]]"
